,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name,Cas Number
10,10,10,10,10,Benzyl alcohol,Problematic,2.0,108.14,205.3,-15.2,1.0419,5.474,0.094,1.5396,1.1,1.71,13,0.6,0.52,0.98,18.4,6.3,13.7,103.7907669,No Group,,,,,,,,,,,25 Ã‚Â£/L,Benzyl alcohol,1336-27-2
11,11,11,11,11,Carbon tetrachloride,Highly Hazardous,0.0,153.82,76.7,-22.2,1.594,0.91,115,1.4601,2.83,0.0,2.2,0.0,0.1,0.28,17.8,0.0,0.6,96.50125471,No Group,,,,,,,,,,,10000 Ã‚Â£/L,Carbontetrachloride,56-23-5
12,12,12,12,12,Chloroform,Highly Hazardous,0.0,119.38,61.12,-63.47,1.484,0.54,197,1.4459,1.97,1.01,4.8,0.2,0.1,0.58,17.8,3.1,5.7,80.44332884,No Group,,,,,,,,,,,30 Ã‚Â£/L,Chloroform,67-66-3
13,13,13,13,13,Cyclohexane,Problematic,2.0,84.16,80.7,6.47,0.7781,0.89,97.5,1.42662,3.44,0.61,2,0.0,0.0,0.0,16.8,0.0,0.2,108.1619329,Alkane,,,,,,,,,,,21.5 Ã‚Â£/L,Cyclohexane,25012-93-5
14,14,14,14,14,Cyclohexanone,Problematic,2.0,98.14,155.4,-31,0.9421,2.02,5,1.4507,0.81,3.08,16.02,0.0,0.53,0.76,17.8,6.3,5.1,104.1762021,No Group,,,,,,,,,,,29 Ã‚Â£/L,Cyclohexanone,11119-77-0
15,15,15,15,15,Cyclopentyl methyl ether,No Ranking,,100.16,105.45,-140,0.86,0.549,34.6,1.4235,1.59,1.27,4.76,0.0,0.53,0.42,16.7,4.3,4.3,116.4653488,No Group,61.0,100.0,,14.5,50.0,98.0,,63.0,73.0,,87 Ã‚Â£/L,,5614-37-9
16,16,16,16,16,Cyrene,No Ranking,,128.13,227,-20,1.25,11.62,0.11,1.4712,-0.71,4.4,3.4,0.0,0.61,0.93,18.8,10.6,6.9,102.504,No Group,,,,58.0,100.0,,,,,51.0,122 Ã‚Â£/L,,53716-82-8
17,17,17,17,17,Dichloromethane,Hazardous,1.0,84.93,39.75,-95,1.3255,0.41,435,1.4244,1.25,1.6,9.1,0.13,0.1,0.82,18.2,6.3,6.1,64.07604677,No Group,,100.0,91.0,,,,,,97.0,,19 Ã‚Â£/L,Dichloromethane,1605-72-7
18,18,18,18,18,Diethyl ether,Highly Hazardous,0.0,74.12,34.6,-116.3,0.7134,0.22,538,1.35555,0.89,1.15,4.3,0.0,0.47,0.27,14.5,2.9,5.1,103.9001962,No Group,81.0,,,,,,,,,,20 Ã‚Â£/L,Diethyl ether,60-29-7
19,19,19,19,19,Dimethyl carbonate,No Ranking,,90.08,90.5,0.5,1.0636,0.664,55.364,1.3687,0.15,0.93,3.17,0.0,0.32,0.44,15.5,3.9,9.7,84.69217751,No Group,,100.0,,,,98.0,,,93.0,,41 Ã‚Â£/L,,616-38-6
20,20,20,20,20,Dimethyl sulfoxide,Problematic,2.0,78.13,189,18.45,1.1,1.99,0.6,1.4783,-1.35,3.96,46.68,0.0,0.76,1.0,18.4,16.4,10.2,71.02618182,No Group,,,87.0,63.5,60.0,,0.0,,,,160 Ã‚Â£/L,Dimethylsulfoxide,164071-41-4
21,21,21,21,21,Dioxane,Hazardous,1.0,88.11,101.2,11.75,1.0337,1.18,38.1,1.4224,-0.27,0.0,2.2,0.0,0.37,0.55,19.0,1.8,7.4,85.23749637,No Group,,,,,,,,,,,56 Ã‚Â£/L,Dioxane,28347-88-8
22,22,22,22,22,Ethanol,Recommended,3.0,46.07,78.24,-114.1,0.7893,1.07,59.3,1.3611,-0.31,1.69,24.55,0.86,0.75,0.54,15.8,8.8,19.4,58.366654,Alcohol,,,,,,,,,,,40 Ã‚Â£/L,Ethanol,121182-78-3
23,23,23,23,23,Ethyl acetate,Recommended,3.0,88.11,77.1,-83.8,0.9003,0.42,93.2,1.3723,0.73,1.78,6.0,0.0,0.45,0.55,15.8,5.3,7.2,97.86293458,No Group,,100.0,89.0,,,95.0,100.0,72.0,97.0,,28 Ã‚Â£/L,Ethyl acetate,141-78-6
24,24,24,24,24,Ethyl lactate,No Ranking,,118.13,154,-26,1.0328,2.398,3.75,1.4124,-0.19,2.55,13.1,0.69,0.52,0.82,16.0,7.6,12.5,114.3783888,No Group,,,,,,,,,,,55 Ã‚Â£/L,,97-64-3
25,25,25,25,25,Ethylene carbonate,No Ranking,,88.06,248,36.4,1.3214,1.93,979,1.4148,-0.9,4.51,89.78,0.0,0.32,0.99,19.4,21.7,5.1,66.64355986,No Group,,,,,,,,,,,38 Ã‚Â£/L,,96-49-1
26,26,26,26,26,Ethylene glycol,Recommended,3.0,62.07,197.3,-12.69,1.1135,16.1,0.092,1.4318,-1.36,2.31,37.7,0.9,0.52,0.92,17.0,11.0,26.0,55.7415357,No Group,,,,,,,,,,,23 Ã‚Â£/L,Ethylene Glycol,37221-95-7
27,27,27,27,27,Gamma-valerolac-ne,No Ranking,,100.12,205,-31,1.05,1.86,0.33,1.4313,-0.27,4.71,36.14,0.0,0.58,0.88,15.5,4.7,6.6,95.35238095,No Group,,,,78.5,73.0,63.0,,25.0,,86.0,98 Ã‚Â£/L,,108-29-2
28,28,28,28,28,Heptane,Problematic,2.0,100.2,98.38,-90.549,0.6795,0.395,46.03,1.3855,4.66,0.0,1.92,0.0,0.0,-0.08,15.3,0.0,0.0,147.4663723,Alkane,,,,,,,,,,,47 Ã‚Â£/L,Heptane,142-82-5
29,29,29,29,29,Hexafluoroisopropanol,No Ranking,,168.05,58.9,-3.9,1.596,1.58,158,1.275,1.91,2.05,16.7,1.96,0.0,0.65,17.2,4.5,14.7,105.2944862,No Group,,,,,,,,,,,1000 Ã‚Â£/L,,920-66-1
30,30,30,30,30,Hexamethylphosphoramide,Highly Hazardous,0.0,179.2,233,6.1,1.03,3.24,0.03,1.4572,0.28,4.19,29,0.0,1.05,0.87,18.5,8.6,11.3,173.9805825,No Group,,,,,,,,,,,452 Ã‚Â£/L,HMPA,630-31-9
31,31,31,31,31,Hexane,Hazardous,1.0,86.18,68.7,-95.35,0.6606,0.295,153,1.3727,3.9,0.0,1.88,0.0,0.0,-0.04,14.9,0.0,0.0,130.4520133,Alkane,,,,,,,,,,,70 Ã‚Â£/L,hexane,92112-69-1
32,32,32,32,32,i-Amyl alcohol,No Ranking,,88.15,132.5,-117.2,0.813,3.738,2.37,1.4075,1.16,1.7,15.2,0.84,0.86,0.4,15.8,5.2,13.3,108.4246002,No Group,,,,,,,,,,,62 Ã‚Â£/L,,123-51-3
33,33,33,33,33,i-Butanol,No Ranking,,74.12,108,-108,0.8018,3.332,10.4,1.3955,0.76,1.64,17.7,0.79,0.84,0.4,15.1,5.7,15.9,92.44499875,Alcohol,,,,,,,,,,,60 Ã‚Â£/L,,68989-27-5
34,34,34,34,34,Isopropyl alcohol,Recommended,3.0,60.1,82.3,-88.5,0.78509,2.04,45.4,1.377,0.05,1.59,19.4,0.76,0.95,0.48,15.8,6.1,16.4,76.54612847,Alcohol,,100.0,,,,,,,31.0,,47 Ã‚Â£/L,,8013-70-5
35,35,35,35,35,Isopropylacetate,Recommended,3.0,102.13,88.6,-73.4,0.8718,0.49,60.37,1.3773,1.02,1.75,6.3,0.0,0.4,0.53,14.9,4.5,8.2,117.1516403,No Group,,,,,,96.0,100.0,77.0,,,27 Ã‚Â£/L,isopropylacetate,108-21-4
36,36,36,36,36,Methanol,Recommended,3.0,32.04,64.7,-97.8,0.7866,0.54,127,1.3292,-0.77,1.7,32.7,0.98,0.66,0.6,15.1,12.3,22.3,40.73480803,Alcohol,,,,,,,,,28.0,,31 Ã‚Â£/L,Methanol,54841-71-3
37,37,37,37,37,Methyl cyclohexane,Problematic,2.0,98.19,100.9,-126.6,0.7694,0.687,46,1.4231,3.61,0.0,2.02,0.264705882,0.419019608,-0.01,16.0,0.0,1.0,127.6158045,Alkane,,,,,,,,,,,30 Ã‚Â£/L,Methylcyclohexane,108-87-2
38,38,38,38,38,Methyl ethyl ke-ne,Recommended,3.0,72.11,79.59,-86.67,0.7997,0.41,90.6,1.3788,0.29,2.76,18.4,0.06,0.48,0.67,16.0,9.0,5.1,90.16706265,No Group,,,,,,,,,,,24 Ã‚Â£/L,MEK,78-93-3
39,39,39,39,39,Methyl isobutyl ke-ne,Recommended,3.0,100.16,115.7,-85,0.7965,0.55,19.9,1.3962,1.31,2.7,13.11,0.02,0.48,0.65,15.3,6.1,4.1,125.750408,No Group,,,,,,,,,,,30 Ã‚Â£/L,Methyl isobutyl ke-ne,108-10-1
40,40,40,40,40,Methyl tert-butyl ether,Hazardous,1.0,88.15,55.1,-108.6,0.7353,0.319,250,1.3664,0.94,1.36,2.6,0.264705882,0.419019608,0.624716981,14.8,4.3,5.0,119.8819529,No Group,,100.0,,,,98.0,100.0,92.0,,,45 Ã‚Â£/L,t-Butyl methyl ether,1634-04-4
41,41,41,41,41,Methyl tetrahydrofuran,Problematic,2.0,86.13,81,-136,0.85,0.4753,81.8,1.406,0.82,1.38,6.97,0.0,0.58,0.53,16.9,5.0,4.3,101.3334118,No Group,81.0,100.0,,,,96.0,100.0,98.0,38.0,,54 Ã‚Â£/L,Methyl tetrahydrofuran,25265-68-3
42,42,42,42,42,Dimethylethylene urea,No Ranking,,114.15,225,8,1.058,1.9256,0.1,1.472,-0.03,2.64,37.6,0.264705882,0.419019608,0.624716981,17.8,9.5,9.3,107.8922495,No Group,,,,,,,,,,,318 Ã‚Â£/L,,80-73-9
43,43,43,43,43,Dimethylformamide,Hazardous,1.0,73.09,152.8,-60.3,0.9445,0.79,3.87,1.42083,-1.01,3.82,36.71,0.0,0.69,0.88,17.4,13.7,11.3,77.38951826,No Group,,100.0,,69.0,88.0,,,,,,32 Ã‚Â£/L,Dimethylformamide,68-12-2
44,44,44,44,44,Dimethylpropylene urea,Problematic,2.0,128.18,246.5,-23,1.06,2.917,0,1.472,-0.03,4.17,36.12,0.264705882,0.419019608,1.08,18.0,10.5,9.7,120.9245283,No Group,,,,,,,,,,,350 Ã‚Â£/L,,7226-23-5
45,45,45,45,45,Nitrobenzene,No Ranking,,123.11,210.8,5.7,1.2037,1.863,0.245,1.5562,1.85,4.23,36.09,0.0,0.3,1.01,20.0,8.6,4.1,102.2763147,No Group,,,,,,,,,,,52 Ã‚Â£/L,,98-95-3
46,46,46,46,46,Nitromethane,Highly Hazardous,0.0,64.06,101.1,-28.7,1.1371,0.63,35.8,1.3817,-0.35,3.46,39.4,0.22,0.06,0.85,15.8,18.8,5.1,56.33541465,No Group,,,,,,,,,,,96 Ã‚Â£/L,Nitromethane,19527-13-0
47,47,47,47,47,N-methylpyrrolidinone,Hazardous,1.0,85.15,202,-25,1.027,1.65,0.345,1.469,-0.38,4.09,32.2,0.0,0.77,0.92,18.0,12.3,7.2,82.91139241,No Group,,,,69.0,100.0,,,,,,37 Ã‚Â£/L,N-methylpyrolidine,26138-58-9
48,48,48,48,48,Pentane,Hazardous,1.0,72.15,36.06,-129.67,0.6262,0.216,514.04,1.3575,3.39,0.0,1.8,0.0,0.0,-0.08,15.6,0.0,0.0,115.2184606,Alkane,,,,,,,,,,,71 Ã‚Â£/L,Pentane,109-66-0
49,49,49,49,49,Propylene carbonate,No Ranking,,102.09,241.6,-48.8,1.2047,2.5,0.045,1.4189,-0.41,4.77,62.93,0.0,0.38,0.9,20.0,18.0,4.1,84.74308957,No Group,,,,70.0,80.0,37.0,,22.0,,36.0,43 Ã‚Â£/L,,108-32-7
50,50,50,50,50,p-Xylene,Problematic,2.0,106.17,138.3,13.3,0.86104,0.6,8.84,1.49575,3.15,0.0,2.27,0.0,0.12,0.43,17.6,1.0,3.1,123.3008919,Arene,,,,,,,,,,,49 Ã‚Â£/L,,106-42-3
51,51,51,51,51,Pyridine,Hazardous,1.0,79.1,115.25,-41.6,0.98272,0.88,20.8,1.5092,0.65,2.19,12.5,0.0,0.64,0.87,19.0,8.8,5.9,80.49088245,No Group,,,,,,,,,,,130 Ã‚Â£/L,Pyridine,152758-95-7
52,52,52,52,52,t-Butanol,Recommended,3.0,74.12,82.3,25.7,0.7886,4.3839,40.7,1.3878,0.35,1.31,10.9,0.42,0.93,0.41,15.2,5.1,14.7,93.99239158,Alcohol,,,,,,,,,,,34 Ã‚Â£/L,t-Butanol,75-65-0
53,53,53,53,53,Tetrahydrofuran,Problematic,2.0,72.11,65,-108.44,0.89,0.46,162,1.407,0.47,1.7,7.58,0.0,0.55,0.58,16.8,5.7,8.0,81.01865169,No Group,54.0,,84.0,,,94.0,,,,,27 Ã‚Â£/L,Tetrahydrofuran,77392-70-2
54,54,54,54,54,#NAME?,Problematic,2.0,92.14,110.6,-94.9,0.8623,0.56,28.4,1.4967,2.73,0.36,2.33,0.0,0.11,0.54,18.0,1.4,2.0,106.8539951,Arene,,,,12.5,,,100.0,,,,30 Ã‚Â£/L,#NAME?,04/08/3101
55,55,55,55,55,Trifluoroethanol,No Ranking,,100.04,74.5,-44,1.391,1.768,71.3,1.29,0.31,2.52,8.55,1.51,0.0,0.73,15.4,8.3,16.4,71.91948239,No Group,,,,,,,,,,,358 Ã‚Â£/L,,28606-06-6
56,56,56,56,56,Water,Recommended,3.0,18.02,100,0,0.995,0.89,23.8,1.333,-1.38,1.857,80.1,1.17,0.47,1.09,15.5,16.0,42.3,18.10572864,No Group,,,,,,,,,,,1 Ã‚Â£/L,Water,14314-42-2
57,57,57,57,57,"1,1,1-trichloroethane",,,131.93,74,-30,1.34,,124,1.4711,2.49,,,0.0,0.0,0.49,17.0,4.3,2.0,100.4,,,,,,,,,,,,,,71-55-6
58,58,58,58,58,"1,1,2,2-tetrachloroethane",,,165.89,,,,,,,,,,0.0,0.0,0.95,18.8,5.1,9.4,105.2,,,,,,,,,,,,,,79-34-5
59,59,59,59,59,"1,1-dichloroethane",,,97.97,57,-98,1.18,,227,1.4167,1.8,,10.7,0.1,0.1,0.48,16.6,8.2,0.4,84.8,,,,,,,,,,,,,,75-34-3
60,60,60,60,60,"1,1-dichloroethylene",,,95.95,32,-122,1.21,0.3302,600,1.4249,2.41,,,,,,17.0,6.8,4.5,79.0,,,,,,,,,,,,,,9002-85-1
61,61,61,61,61,"1,2,3,4-tetrahydronaphthalene",,,132.09,207.6,-35.8,0.9702,2.012,0.368,1.53919,3.78,,,,,,19.6,2.0,2.9,136.0,,,,,,,,,,,,,,119-64-2
62,62,62,62,62,"1,2-dibromoethane",,,185.87,,,,,,,,,,0.0,0.0,0.75,19.6,6.8,12.1,87.0,,,,,,,,,,,,,,624-61-3
63,63,63,63,63,"1,2-dichlorobenzene",,,145.97,181.5,-17,1.3,,1.36,,3.38,,,0.0,0.03,0.8,19.2,6.3,3.3,112.8,,,,,,,,,,,,,,95-50-1
64,64,64,64,64,"1,3-dimethylcyclohexane",,,112.13,,,,,,,,,,,,,16.1,0.0,1.1,140.0,,,,,,,,,,,,,,591-21-9
65,65,65,65,65,"1,3-dioxolane",,,74.04,78,-95,1.06,,,1.3974,-0.37,,,0.0,0.45,0.69,18.1,6.6,9.3,69.9,,,,,,,,,,,,,,646-06-0
66,66,66,66,66,"1,4-diethylbenzene",,,134.11,183.7,-42.83,0.862,,,1.4967,4.45,,,,,,18.0,0.0,0.6,156.9,,,,,,,,,,,,,,105-05-5
67,67,67,67,67,1-butanol,#9ACD32,,74.0,117.6,-89,0.81,2.544,6.698,13.988,0.785,,,,,,16.0,5.7,15.8,91.5,,,,,,,,,,,,,,71-36-3
68,68,68,68,68,1-chlorobutane,,,92.04,78,-123,0.89,,,1.40223,2.82,,9.6,0.0,0.0,0.39,16.4,5.5,2.0,104.9,,,,,,,,,,,,,,109-69-3
69,69,69,69,69,1-chloropropane,,,78.02,46.6,-122.8,0.8899,,344.4,1.3879,2.04,,,,,,16.0,7.8,2.0,88.1,,,,,,,,,,,,,,540-54-5
70,70,70,70,70,1-decanol,,,158.17,230,7,0.8285,,851,1.437,4.23,,,,,,17.6,2.7,10.0,191.8,,,,,,,,,,,,,,85566-12-7
71,71,71,71,71,1-methoxy-2-propanol,,,90.07,120,-96,0.96,,12.5,1.4034,,,,,,,15.6,6.3,11.6,98.2,,,,,,,,,,,,,,107-98-2
72,72,72,72,72,1-methylnaphthalene,,,142.08,245,-22,1.0202,,0.067,1.615,3.87,,,,,,20.6,0.8,4.7,138.8,,,,,,,,,,,,,,90-12-0
73,73,73,73,73,1-octanol,,,130.14,194.5,-15.5,0.825,,,1.4295,3.0,,,,,,17.0,3.3,11.9,157.7,,,,,,,,,,,,,,220713-26-8
74,74,74,74,74,1-phenoxy-2-propanol,,,152.08,241.2,11.4,1.0622,22.7,218,1.5232,1.5,,,,,,17.4,5.3,11.5,143.2,,,,,,,,,,,,,,770-35-4
75,75,75,75,75,1-propanol,,,60.06,97,-127,0.81,2.256,,1.3855,0.25,,,,,,16.0,6.8,17.4,75.2,,,,,,,,,,,,,,71-23-8
76,76,76,76,76,1-tridecanol,,,200.21,274,31,0.8,,0.000436,,8.52,,,,,,14.3,3.1,9.0,242.0,,,,,,,,,,,,,,112-70-9
77,77,77,77,77,"2,2-bu-xyethoxyethylacetate",,,204.14,246,-32,0.985,,,1.4262,2.9,,,,,,16.0,4.1,8.2,208.2,,,,,,,,,,,,,,124-17-4
78,78,78,78,78,"2,6-dimethyl-4-heptanone",,,142.14,168,-42,0.81,,1.65,1.413,2.56,,,,,,16.0,3.7,4.1,177.1,,,,,,,,,,,,,,108-83-8
79,79,79,79,79,2-butanol,,,74.07,,,,,,,,,,0.69,0.8,0.4,15.8,5.7,14.5,92.0,,,,,,,,,,,,,,4221-99-2
80,80,80,80,80,2-bu-xyethylacetate,,,160.11,192,-64,0.94,,,1.42,1.51,,,,,,15.3,7.5,6.8,171.2,,,,,,,,,,,,,,112-07-2
81,81,81,81,81,2-chloroethylether,,,142.0,178,-50,1.22,2.0653,,1.451,1.29,,,,,,18.8,9.0,5.7,117.6,,,,,,,,,,,,,,111-44-4
82,82,82,82,82,2-ethoxyethanol,,,90.07,135,-70,0.93,,5.31,1.406,-0.54,,,,,,16.2,9.2,14.3,97.8,,,,,,,,,,,,,,110-80-5
83,83,83,83,83,2-ethoxyethylacetate,,,132.08,156,-62,0.98,1.32,2,1.4054,0.24,,,,,,16.0,4.7,10.6,136.2,,,,,,,,,,,,,,111-15-9
84,84,84,84,84,2-furaldehyde,,,96.02,162,-36.5,1.16,,,1.525,0.46,,41.9,,,,18.6,14.9,5.1,83.2,,,,,,,,,,,,,,98-01-1
85,85,85,85,85,2-nitropropane,,,89.05,120,-91,0.99,0.721,17.2,1.3944,0.93,,,,,,16.2,12.1,4.1,86.9,,,,,,,,,,,,,,79-46-9
86,86,86,86,86,2-octanol,,,130.14,178.5,-38.6,0.8185,,0.242,1.4265,2.72,,,,,,16.2,4.9,11.0,159.1,,,,,,,,,,,,,,123-96-6
87,87,87,87,87,2-pentanone,,,86.07,102,-78,0.81,,35.4,1.3895,0.91,,,0.0,0.52,0.65,16.0,7.6,4.7,107.3,,,,,,,,,,,,,,107-87-9
88,88,88,88,88,2-pyrrolidinone,,,85.05,,,,,,,,,,,,,19.4,17.4,11.3,76.0,,,,,,,,,,,,,,22580-55-8
89,89,89,89,89,3-chloro-1-propanol,,,94.02,,,1.14,,,,,,,,,,17.6,5.7,14.7,84.2,,,,,,,,,,,,,,627-30-5
90,90,90,90,90,3-hexanol,,,102.1,134,,0.82,,,1.416,1.65,,,,,,15.8,4.3,13.5,123.2,,,,,,,,,,,,,,623-37-0
91,91,91,91,91,3-hydroxypropionitrile,,,71.04,221,-46,1.04,,,1.4248,-0.94,,,,,,17.2,18.8,17.6,68.3,,,,,,,,,,,,,,109-78-4
92,92,92,92,92,3-pentanone,#9ACD32,,86.0,101.9,-39,0.8,0.45,37.653,1.392,0.85,,17.3,0.0,0.45,0.72,15.8,7.6,4.7,106.4,,,,,,,,,,,,,,96-22-0
93,93,93,93,93,4-hydroxy-4-methyl-2-pentanone,,,116.08,170,-47,0.94,,,1.4232,-0.445,,,,,,15.8,8.2,10.8,124.2,,,,,,,,,,,,,,123-42-2
94,94,94,94,94,"4-hydroxymethyl-1,3-dioxolan-2-one",,,118.03,,,,,,,,,,,,,17.9,25.5,17.4,83.2,,,,,,,,,,,,,,931-40-8
95,95,95,95,95,4-methyl-2-pentanol,,,102.1,132,-90,0.81,,,1.41,1.43,,,,,,15.3,3.3,12.3,127.2,,,,,,,,,,,,,,108-11-2
96,96,96,96,96,4-octanol,,,130.14,,,,,,,,,,,,,16.0,3.3,11.9,157.0,,,,,,,,,,,,,,589-62-8
97,97,97,97,97,5-methyl-2-hexanone,,,114.1,144,-74,0.81,0.77,5.77,1.4062,1.72,,,,,,16.0,5.7,4.1,142.8,,,,,,,,,,,,,,110-12-3
98,98,98,98,98,acetaldehyde,,,44.03,20.2,-123,0.79,,902,1.37,0.63,,,,,,14.7,8.0,11.3,57.1,,,,,,,,,,,,,,75-07-0
99,99,99,99,99,ace-phenone,,,120.06,202,20,1.028,,0.397,1.5325,1.58,,,0.04,0.49,0.9,19.6,8.6,3.7,117.4,,,,,,,,,,,,,,98-86-2
100,100,100,100,100,acetylchloride,,,77.99,51,-112,1.11,,287,1.3898,-0.47,,,,,,15.8,10.6,3.9,71.0,,,,,,,,,,,,,,75-36-5
101,101,101,101,101,acrylonitrile,,,53.03,77,-84,0.81,,109,1.3911,0.25,,38,,,,16.4,17.4,6.8,67.1,,,,,,,,,,,,,,63908-52-1
102,102,102,102,102,allylalcohol,,,58.04,97,-129,0.85,,25.4,1.41345,0.17,,22.0,,,,16.2,10.8,16.8,68.4,,,,,,,,,,,,,,107-18-6
103,103,103,103,103,amylalcohol,,,88.09,138,-79,0.813,,2.2,1.4095,1.51,,13.9,,,,16.0,4.5,13.9,109.0,,,,,,,,,,,,,,71-41-0
104,104,104,104,104,benzaldehyde,,,106.04,179,-26,1.044,,1.27,1.5455,1.48,,18.0,,,,19.4,7.4,5.3,101.5,,,,,,,,,,,,,,100-52-7
105,105,105,105,105,benzoicacid,,,122.04,249,122,1.0,1.26,0.0007,1.504,1.87,,,,,,18.2,7.0,9.8,100.0,,,,,,,,,,,,,,65-85-0
106,106,106,106,106,benzonitrile,,,103.04,190.7,-12.8,1.0,,0.768,1.5289,1.56,,26.0,0.0,0.37,0.9,17.4,9.0,3.3,102.6,,,,,,,,,,,,,,100-47-0
107,107,107,107,107,benzylbenzoate,,,212.08,324,21,1.117,8.292,224,1.56325,3.97,,4.8,,,,20.0,5.1,5.2,190.3,,,,,,,,,,,,,,120-51-4
108,108,108,108,108,benzylbutylphthalate,,,312.14,370,-35,1.1,,0.00000825,1.5375,4.77,,,,,,19.0,11.3,3.1,306.0,,,,,,,,,,,,,,85-68-7
109,109,109,109,109,benzylether,,,198.1,2978,3.6,1.0425,,,1.5605,3.31,,,,,,17.4,3.7,7.4,192.7,,,,,,,,,,,,,,103-50-4
110,110,110,110,110,biphenyl,,,154.08,,,,,,,,,,,,,21.5,1.0,2.0,154.1,,,,,,,,,,,,,,81846-81-3
111,111,111,111,111,bis-2-chloroisopropylether,,,170.03,187,5,1.1,,,1.4505,2.36,,,,,,19.0,8.2,5.1,146.0,,,,,,,,,,,,,,108-60-1
112,112,112,112,112,bromobenzene,,,155.96,156.2,-30.7,1.5,,,1.5597,2.99,,5.4,0.0,0.06,0.79,20.5,5.5,4.1,105.3,,,,,,,,,,,,,,108-86-1
113,113,113,113,113,bromochloromethane,,,127.9,68,-88,1.93,,142,1.4808,1.41,,7.7,,,,17.4,5.7,3.5,65.0,,,,,,,,,,,,,,74-97-5
114,114,114,114,114,bromoethane,,,107.96,38.4,-119,1.46,0.379,467,1.4242,1.61,,4.9,,,,16.6,8.0,5.1,76.9,,,,,,,,,,,,,,74-96-4
