,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapour Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name
10,10,10.0,10.0,10.0,10.0,10.0,Benzyl alcohol,Problematic,2.0,108.1396,205.3,-15.2,1.0419,5.474,0.094,1.5396,1.1,1.71,13.0,0.6,0.52,0.98,18.4,6.3,13.7,103.7907669,No Group,,,,,,,,,,,25 Â£/L,Benzyl alcohol
11,11,11.0,11.0,11.0,11.0,11.0,Carbon tetrachloride,Highly Hazardous,0.0,153.823,76.7,-22.2,1.594,0.91,115.0,1.4601,2.83,0.0,2.3,0.0,0.1,0.28,17.8,0.0,0.6,96.50125471,No Group,,,,,,,,,,,10000 Â£/L,Carbontetrachloride
12,12,12.0,12.0,12.0,12.0,12.0,Chloroform,Highly Hazardous,0.0,119.3779,61.12,-63.47,1.484,0.54,197.0,1.4459,1.97,1.01,4.8,0.2,0.1,0.58,17.8,3.1,5.7,80.44332884,No Group,,,,,,,,,,,30 Â£/L,Chloroform
13,13,13.0,13.0,13.0,13.0,13.0,Cyclohexane,Problematic,2.0,84.1608,80.7,6.47,0.7781,0.89,97.5,1.42662,3.44,0.61,2.0,0.0,0.0,0.0,16.8,0.0,0.2,108.1619329,Alkane,,,,,,,,,,,21.5 Â£/L,Cyclohexane
14,14,14.0,14.0,14.0,14.0,14.0,Cyclohexanone,Problematic,2.0,98.1444,155.4,-31.0,0.9421,2.02,5.0,1.4507,0.81,3.08,16.02,0.0,0.53,0.76,17.8,6.3,5.1,104.1762021,No Group,,,,,,,,,,,29 Â£/L,Cyclohexanone
15,15,15.0,15.0,15.0,15.0,15.0,Cyclopentyl methyl ether,No Ranking,,100.1602,105.45,-140.0,0.86,0.549,34.6,1.4235,1.59,1.27,4.76,0.0,0.53,0.42,16.7,4.3,4.3,116.4653488,No Group,61.0,100.0,,14.5,50.0,98.0,,63.0,73.0,,87 Â£/L,
16,16,16.0,16.0,16.0,16.0,16.0,Cyrene,No Ranking,,128.13,227.0,-20.0,1.25,11.62,0.11,1.4712,-0.71,4.4,3.4,0.0,0.61,0.93,18.8,10.6,6.9,102.504,No Group,,,,58.0,100.0,,,,,51.0,122 Â£/L,
17,17,17.0,17.0,17.0,17.0,17.0,Dichloromethane,Hazardous,1.0,84.9328,39.75,-95.0,1.3255,0.41,435.0,1.4244,1.25,1.6,9.1,0.13,0.1,0.82,18.2,6.3,6.1,64.07604677,No Group,,100.0,91.0,,,,,,97.0,,19 Â£/L,Dichloromethane
18,18,18.0,18.0,18.0,18.0,18.0,Diethyl ether,Highly Hazardous,0.0,74.1224,34.6,-116.3,0.7134,0.22,538.0,1.35555,0.89,1.15,4.3,0.0,0.47,0.27,14.5,2.9,5.1,103.9001962,No Group,81.0,,,,,,,,,,20 Â£/L,Diethyl ether
19,19,19.0,19.0,19.0,19.0,19.0,Dimethyl carbonate,No Ranking,,90.0786,90.5,0.5,1.0636,0.664,55.364,1.3687,0.15,0.93,3.17,0.0,0.32,0.44,15.5,3.9,9.7,84.69217751,No Group,,100.0,,,,98.0,,,93.0,,41 Â£/L,
20,20,20.0,20.0,20.0,20.0,20.0,Dimethyl sulfoxide,Problematic,2.0,78.1288,189.0,18.45,1.1,1.99,0.6,1.4783,-1.35,3.96,46.68,0.0,0.76,1.0,18.4,16.4,10.2,71.02618182,No Group,,,87.0,63.5,60.0,,0.0,,,,160 Â£/L,Dimethylsulfoxide
21,21,21.0,21.0,21.0,21.0,21.0,Dioxane,Hazardous,1.0,88.11,101.2,11.75,1.0337,1.18,38.1,1.4224,-0.27,0.0,2.2,0.0,0.37,0.55,19.0,1.8,7.4,85.23749637,No Group,,,,,,,,,,,56 Â£/L,Dioxane
22,22,22.0,22.0,22.0,22.0,22.0,Ethanol,Recommended,3.0,46.0688,78.24,-114.1,0.7893,1.07,59.3,1.3611,-0.31,1.69,24.55,0.86,0.75,0.54,15.8,8.8,19.4,58.366654,Alcohol,,,,,,,,,,,40 Â£/L,Ethanol
23,23,23.0,23.0,23.0,23.0,23.0,Ethyl acetate,Recommended,3.0,88.106,77.1,-83.8,0.9003,0.42,93.2,1.3723,0.73,1.78,6.0,0.0,0.45,0.55,15.8,5.3,7.2,97.86293458,No Group,,100.0,89.0,,,95.0,100.0,72.0,97.0,,28 Â£/L,Ethyl acetate
24,24,24.0,24.0,24.0,24.0,24.0,Ethyl lactate,No Ranking,,118.13,154.0,-26.0,1.0328,2.398,3.75,1.4124,-0.19,2.55,13.1,0.69,0.52,0.82,16.0,7.6,12.5,114.3783888,No Group,,,,,,,,,,,55 Â£/L,
25,25,25.0,25.0,25.0,25.0,25.0,Ethylene carbonate,No Ranking,,88.0628,248.0,36.4,1.3214,1.93,0.00979,1.4148,-0.9,4.51,89.78,0.0,0.32,0.99,19.4,21.7,5.1,66.64355986,No Group,,,,,,,,,,,38 Â£/L,
26,26,26.0,26.0,26.0,26.0,26.0,Ethylene glycol,Recommended,3.0,62.0682,197.3,-12.69,1.1135,16.1,0.092,1.4318,-1.36,2.31,37.7,0.9,0.52,0.92,17.0,11.0,26.0,55.7415357,No Group,,,,,,,,,,,23 Â£/L,Ethylene Glycol
27,27,27.0,27.0,27.0,27.0,27.0,Gamma-valerolactone,No Ranking,,100.12,205.0,-31.0,1.05,1.86,0.33,1.4313,-0.27,4.71,36.14,0.0,0.58,0.88,15.5,4.7,6.6,95.35238095,No Group,,,,78.5,73.0,63.0,,25.0,,86.0,98 Â£/L,
28,28,28.0,28.0,28.0,28.0,28.0,Heptane,Problematic,2.0,100.2034,98.38,-90.549,0.6795,0.395,46.03,1.3855,4.66,0.0,1.92,0.0,0.0,-0.08,15.3,0.0,0.0,147.4663723,Alkane,,,,,,,,,,,47 Â£/L,Heptane
29,29,29.0,29.0,29.0,29.0,29.0,Hexafluoroisopropanol,No Ranking,,168.05,58.9,-3.9,1.596,1.58,158.0,1.275,1.91,2.05,16.7,1.96,0.0,0.65,17.2,4.5,14.7,105.2944862,No Group,,,,,,,,,,,1000 Â£/L,
30,30,30.0,30.0,30.0,30.0,30.0,Hexamethylphosphoramide,Highly Hazardous,0.0,179.2,233.0,6.1,1.03,3.24,0.03,1.4572,0.28,4.19,29.0,0.0,1.05,0.87,18.5,8.6,11.3,173.9805825,No Group,,,,,,,,,,,452 Â£/L,HMPA
31,31,31.0,31.0,31.0,31.0,31.0,Hexane,Hazardous,1.0,86.1766,68.7,-95.35,0.6606,0.295,153.0,1.3727,3.9,0.0,1.88,0.0,0.0,-0.04,14.9,0.0,0.0,130.4520133,Alkane,,,,,,,,,,,70 Â£/L,hexane
32,32,32.0,32.0,32.0,32.0,32.0,i-Amyl alcohol,No Ranking,,88.1492,132.5,-117.2,0.813,3.738,2.37,1.4075,1.16,1.7,15.2,0.84,0.86,0.4,15.8,5.2,13.3,108.4246002,No Group,,,,,,,,,,,62 Â£/L,
33,33,33.0,33.0,33.0,33.0,33.0,i-Butanol,No Ranking,,74.1224,108.0,-108.0,0.8018,3.332,10.4,1.3955,0.76,1.64,17.7,0.79,0.84,0.4,15.1,5.7,15.9,92.44499875,Alcohol,,,,,,,,,,,60 Â£/L,
34,34,34.0,34.0,34.0,34.0,34.0,Isopropyl alcohol,Recommended,3.0,60.0956,82.3,-88.5,0.78509,2.04,45.4,1.377,0.05,1.59,19.4,0.76,0.95,0.48,15.8,6.1,16.4,76.54612847,Alcohol,,100.0,,,,,,,31.0,,47 Â£/L,
35,35,35.0,35.0,35.0,35.0,35.0,Isopropylacetate,Recommended,3.0,102.1328,88.6,-73.4,0.8718,0.49,60.37,1.3773,1.02,1.75,6.3,0.0,0.4,0.53,14.9,4.5,8.2,117.1516403,No Group,,,,,,96.0,100.0,77.0,,,27 Â£/L,isopropylacetate
36,36,36.0,36.0,36.0,36.0,36.0,Methanol,Recommended,3.0,32.042,64.7,-97.8,0.7866,0.54,127.0,1.3292,-0.77,1.7,32.7,0.98,0.66,0.6,15.1,12.3,22.3,40.73480803,Alcohol,,,,,,,,,28.0,,31 Â£/L,Methanol
37,37,37.0,37.0,37.0,37.0,37.0,Methyl cyclohexane,Problematic,2.0,98.1876,100.9,-126.6,0.7694,0.687,46.0,1.4231,3.61,0.0,2.02,0.264705882,0.419019608,-0.01,16.0,0.0,1.0,127.6158045,Alkane,,,,,,,,,,,30 Â£/L,Methylcyclohexane
38,38,38.0,38.0,38.0,38.0,38.0,Methyl ethyl ketone,Recommended,3.0,72.1066,79.59,-86.67,0.7997,0.41,90.6,1.3788,0.29,2.76,18.4,0.06,0.48,0.67,16.0,9.0,5.1,90.16706265,No Group,,,,,,,,,,,24 Â£/L,MEK
39,39,39.0,39.0,39.0,39.0,39.0,Methyl isobutyl ketone,Recommended,3.0,100.1602,115.7,-85.0,0.7965,0.55,19.9,1.3962,1.31,2.7,13.11,0.02,0.48,0.65,15.3,6.1,4.1,125.750408,No Group,,,,,,,,,,,30 Â£/L,Methyl isobutyl ketone
40,40,40.0,40.0,40.0,40.0,40.0,Methyl tert-butyl ether,Hazardous,1.0,88.1492,55.1,-108.6,0.7353,0.319,250.0,1.3664,0.94,1.36,2.6,0.264705882,0.419019608,0.624716981,14.8,4.3,5.0,119.8819529,No Group,,100.0,,,,98.0,100.0,92.0,,,45 Â£/L,t-Butyl methyl ether
41,41,41.0,41.0,41.0,41.0,41.0,Methyl tetrahydrofuran,Problematic,2.0,86.1334,81.0,-136.0,0.85,0.4753,81.8,1.406,0.82,1.38,6.97,0.0,0.58,0.53,16.9,5.0,4.3,101.3334118,No Group,81.0,100.0,,,,96.0,100.0,98.0,38.0,,54 Â£/L,Methyl tetrahydrofuran
42,42,42.0,42.0,42.0,42.0,42.0,Dimethylethylene urea,No Ranking,,114.15,225.0,8.0,1.058,1.9256,0.1,1.472,-0.03,2.64,37.6,0.264705882,0.419019608,0.624716981,17.8,9.5,9.3,107.8922495,No Group,,,,,,,,,,,318 Â£/L,
43,43,43.0,43.0,43.0,43.0,43.0,Dimethylformamide,Hazardous,1.0,73.0944,152.8,-60.3,0.9445,0.79,3.87,1.42083,-1.01,3.82,36.71,0.0,0.69,0.88,17.4,13.7,11.3,77.38951826,No Group,,100.0,,69.0,88.0,,,,,,32 Â£/L,Dimethylformamide
44,44,44.0,44.0,44.0,44.0,44.0,Dimethylpropylene urea,Problematic,2.0,128.18,246.5,-23.0,1.06,2.917,0.0,1.472,-0.03,4.17,36.12,0.264705882,0.419019608,1.08,18.0,10.5,9.7,120.9245283,No Group,,,,,,,,,,,350 Â£/L,
45,45,45.0,45.0,45.0,45.0,45.0,Nitrobenzene,No Ranking,,123.11,210.8,5.7,1.2037,1.863,0.245,1.5562,1.85,4.23,36.09,0.0,0.3,1.01,20.0,8.6,4.1,102.2763147,No Group,,,,,,,,,,,52 Â£/L,
46,46,46.0,46.0,46.0,46.0,46.0,Nitromethane,Highly Hazardous,0.0,64.059,101.1,-28.7,1.1371,0.63,35.8,1.3817,-0.35,3.46,39.4,0.22,0.06,0.85,15.8,18.8,5.1,56.33541465,No Group,,,,,,,,,,,96 Â£/L,Nitromethane
47,47,47.0,47.0,47.0,47.0,47.0,N-methylpyrrolidinone,Hazardous,1.0,85.15,202.0,-25.0,1.027,1.65,0.345,1.469,-0.38,4.09,32.2,0.0,0.77,0.92,18.0,12.3,7.2,82.91139241,No Group,,,,69.0,100.0,,,,,,37 Â£/L,N-methylpyrolidine
48,48,48.0,48.0,48.0,48.0,48.0,Pentane,Hazardous,1.0,72.1498,36.06,-129.67,0.6262,0.216,514.04,1.3575,3.39,0.0,1.8,0.0,0.0,-0.08,15.6,0.0,0.0,115.2184606,Alkane,,,,,,,,,,,71 Â£/L,Pentane
49,49,49.0,49.0,49.0,49.0,49.0,Propylene carbonate,No Ranking,,102.09,241.6,-48.8,1.2047,2.5,0.045,1.4189,-0.41,4.77,62.93,0.0,0.38,0.9,20.0,18.0,4.1,84.74308957,No Group,,,,70.0,80.0,37.0,,22.0,,36.0,43 Â£/L,
50,50,50.0,50.0,50.0,50.0,50.0,p-Xylene,Problematic,2.0,106.167,138.3,13.3,0.86104,0.6,8.84,1.49575,3.15,0.0,2.27,0.0,0.12,0.43,17.6,1.0,3.1,123.3008919,Arene,,,,,,,,,,,49 Â£/L,
51,51,51.0,51.0,51.0,51.0,51.0,Pyridine,Hazardous,1.0,79.1,115.25,-41.6,0.98272,0.88,20.8,1.5092,0.65,2.19,12.5,0.0,0.64,0.87,19.0,8.8,5.9,80.49088245,No Group,,,,,,,,,,,130 Â£/L,Pyridine
52,52,52.0,52.0,52.0,52.0,52.0,t-Butanol,Recommended,3.0,74.1224,82.3,25.7,0.7886,4.3839,40.7,1.3878,0.35,1.31,10.9,0.42,0.93,0.41,15.2,5.1,14.7,93.99239158,Alcohol,,,,,,,,,,,34 Â£/L,t-Butanol
53,53,53.0,53.0,53.0,53.0,53.0,Tetrahydrofuran,Problematic,2.0,72.1066,65.0,-108.44,0.89,0.46,162.0,1.407,0.47,1.7,7.58,0.0,0.55,0.58,16.8,5.7,8.0,81.01865169,No Group,54.0,,84.0,,,94.0,,,,,27 Â£/L,Tetrahydrofuran
54,54,54.0,54.0,54.0,54.0,54.0,Toluene,Problematic,2.0,92.1402,110.6,-94.9,0.8623,0.56,28.4,1.4967,2.73,0.36,2.33,0.0,0.11,0.54,18.0,1.4,2.0,106.8539951,Arene,,,,12.5,,,100.0,,,,30 Â£/L,Toluene
55,55,55.0,55.0,55.0,55.0,55.0,Trifluoroethanol,No Ranking,,100.04,74.5,-44.0,1.391,1.768,71.3,1.29,0.31,2.52,8.55,1.51,0.0,0.73,15.4,8.3,16.4,71.91948239,No Group,,,,,,,,,,,358 Â£/L,
56,56,56.0,56.0,56.0,56.0,56.0,Water,Recommended,3.0,18.0152,100.0,0.0,0.995,0.89,23.8,1.333,-1.38,1.857,80.1,1.17,0.47,1.09,15.5,16.0,42.3,18.10572864,No Group,,,,,,,,,,,1 Â£/L,Water
57,57,57.0,57.0,57.0,0.0,,"1,1,1-trichloroethane",,,,,,,,,,,,,0.0,0.0,0.49,17.0,4.3,2.0,100.4,,,,,,,,,,,,,
58,58,58.0,58.0,58.0,0.0,,"1,1,2,2-tetrachloroethane",,,,,,,,,,,,,0.0,0.0,0.95,18.8,5.1,9.4,105.2,,,,,,,,,,,,,
59,59,59.0,59.0,59.0,0.0,,"1,1-dichloroethane",,,,,,,,,,,,,0.1,0.1,0.48,16.6,8.2,0.4,84.8,,,,,,,,,,,,,
60,60,60.0,60.0,60.0,0.0,,"1,1-dichloroethylene",,,,,,,,,,,,,,,,17.0,6.8,4.5,79.0,,,,,,,,,,,,,
61,61,61.0,61.0,61.0,0.0,,"1,2,3,4-tetrahydronaphthalene",,,,,,,,,,,,,,,,19.6,2.0,2.9,136.0,,,,,,,,,,,,,
62,62,62.0,62.0,62.0,0.0,,"1,2-dibromoethane",,,,,,,,,,,,,0.0,0.0,0.75,19.6,6.8,12.1,87.0,,,,,,,,,,,,,
63,63,63.0,63.0,63.0,0.0,,"1,2-dichlorobenzene",,,,,,,,,,,,,0.0,0.03,0.8,19.2,6.3,3.3,112.8,,,,,,,,,,,,,
64,64,64.0,64.0,64.0,0.0,,"1,3-dimethylcyclohexane",,,,,,,,,,,,,,,,16.1,0.0,1.1,140.0,,,,,,,,,,,,,
65,65,65.0,65.0,65.0,0.0,,"1,3-dioxolane",,,,,,,,,,,,,0.0,0.45,0.69,18.1,6.6,9.3,69.9,,,,,,,,,,,,,
66,66,66.0,66.0,66.0,0.0,,"1,4-diethylbenzene",,,,,,,,,,,,,,,,18.0,0.0,0.6,156.9,,,,,,,,,,,,,
67,67,68.0,68.0,68.0,0.0,,1-butanol,#9ACD32,,74.0,117.6,-89.0,0.81,2.544,6.698,13.988,0.785,,,,,,16.0,5.7,15.8,91.5,,,,,,,,,,,,,
68,68,69.0,69.0,69.0,0.0,,1-chlorobutane,,,,,,,,,,,,,0.0,0.0,0.39,16.4,5.5,2.0,104.9,,,,,,,,,,,,,
69,69,70.0,70.0,70.0,0.0,,1-chloropropane,,,,,,,,,,,,,,,,16.0,7.8,2.0,88.1,,,,,,,,,,,,,
70,70,71.0,71.0,71.0,0.0,,1-decanol,,,,,,,,,,,,,,,,17.6,2.7,10.0,191.8,,,,,,,,,,,,,
71,71,72.0,72.0,72.0,0.0,,1-methoxy-2-propanol,,,,,,,,,,,,,,,,15.6,6.3,11.6,98.2,,,,,,,,,,,,,
72,72,74.0,74.0,74.0,0.0,,1-methylnaphthalene,,,,,,,,,,,,,,,,20.6,0.8,4.7,138.8,,,,,,,,,,,,,
73,73,75.0,75.0,75.0,0.0,,1-octanol,,,,,,,,,,,,,,,,17.0,3.3,11.9,157.7,,,,,,,,,,,,,
74,74,76.0,76.0,76.0,0.0,,1-phenoxy-2-propanol,,,,,,,,,,,,,,,,17.4,5.3,11.5,143.2,,,,,,,,,,,,,
75,75,77.0,77.0,77.0,0.0,,1-propanol,,,,,,,,,,,,,,,,16.0,6.8,17.4,75.2,,,,,,,,,,,,,
76,76,78.0,78.0,78.0,0.0,,1-tridecanol,,,,,,,,,,,,,,,,14.3,3.1,9.0,242.0,,,,,,,,,,,,,
77,77,79.0,79.0,79.0,0.0,,"2,2-butoxyethoxyethylacetate",,,,,,,,,,,,,,,,16.0,4.1,8.2,208.2,,,,,,,,,,,,,
78,78,80.0,80.0,80.0,0.0,,"2,6-dimethyl-4-heptanone",,,,,,,,,,,,,,,,16.0,3.7,4.1,177.1,,,,,,,,,,,,,
79,79,81.0,81.0,81.0,0.0,,2-butanol,,,,,,,,,,,,,0.69,0.8,0.4,15.8,5.7,14.5,92.0,,,,,,,,,,,,,
80,80,84.0,84.0,84.0,0.0,,2-butoxyethylacetate,,,,,,,,,,,,,,,,15.3,7.5,6.8,171.2,,,,,,,,,,,,,
81,81,85.0,85.0,85.0,0.0,,2-chloroethylether,,,,,,,,,,,,,,,,18.8,9.0,5.7,117.6,,,,,,,,,,,,,
82,82,86.0,86.0,86.0,0.0,,2-ethoxyethanol,,,,,,,,,,,,,,,,16.2,9.2,14.3,97.8,,,,,,,,,,,,,
83,83,87.0,87.0,87.0,0.0,,2-ethoxyethylacetate,,,,,,,,,,,,,,,,16.0,4.7,10.6,136.2,,,,,,,,,,,,,
84,84,88.0,88.0,88.0,0.0,,2-furaldehyde,,,,,,,,,,,,,,,,18.6,14.9,5.1,83.2,,,,,,,,,,,,,
85,85,90.0,90.0,90.0,0.0,,2-nitropropane,,,,,,,,,,,,,,,,16.2,12.1,4.1,86.9,,,,,,,,,,,,,
86,86,91.0,91.0,91.0,0.0,,2-octanol,,,,,,,,,,,,,,,,16.2,4.9,11.0,159.1,,,,,,,,,,,,,
87,87,92.0,92.0,92.0,0.0,,2-pentanone,,,,,,,,,,,,,0.0,0.52,0.65,16.0,7.6,4.7,107.3,,,,,,,,,,,,,
88,88,94.0,94.0,94.0,0.0,,2-pyrrolidinone,,,,,,,,,,,,,,,,19.4,17.4,11.3,76.0,,,,,,,,,,,,,
89,89,95.0,95.0,95.0,0.0,,3-chloro-1-propanol,,,,,,,,,,,,,,,,17.6,5.7,14.7,84.2,,,,,,,,,,,,,
90,90,96.0,96.0,96.0,0.0,,3-hexanol,,,,,,,,,,,,,,,,15.8,4.3,13.5,123.2,,,,,,,,,,,,,
91,91,97.0,97.0,97.0,0.0,,3-hydroxypropionitrile,,,,,,,,,,,,,,,,17.2,18.8,17.6,68.3,,,,,,,,,,,,,
92,92,99.0,99.0,99.0,0.0,,3-pentanone,#9ACD32,,86.0,101.9,-39.0,0.8,0.45,37.653,1.392,0.85,,,0.0,0.45,0.72,15.8,7.6,4.7,106.4,,,,,,,,,,,,,
93,93,100.0,100.0,100.0,0.0,,4-hydroxy-4-methyl-2-pentanone,,,,,,,,,,,,,,,,15.8,8.2,10.8,124.2,,,,,,,,,,,,,
94,94,101.0,101.0,101.0,0.0,,"4-hydroxymethyl-1,3-dioxolan-2-one",,,,,,,,,,,,,,,,17.9,25.5,17.4,83.2,,,,,,,,,,,,,
95,95,102.0,102.0,102.0,0.0,,4-methyl-2-pentanol,,,,,,,,,,,,,,,,15.3,3.3,12.3,127.2,,,,,,,,,,,,,
96,96,104.0,104.0,104.0,0.0,,4-octanol,,,,,,,,,,,,,,,,16.0,3.3,11.9,157.0,,,,,,,,,,,,,
97,97,105.0,105.0,105.0,0.0,,5-methyl-2-hexanone,,,,,,,,,,,,,,,,16.0,5.7,4.1,142.8,,,,,,,,,,,,,
98,98,106.0,106.0,106.0,0.0,,acetaldehyde,,,,,,,,,,,,,,,,14.7,8.0,11.3,57.1,,,,,,,,,,,,,
99,99,107.0,107.0,107.0,0.0,,acetophenone,,,,,,,,,,,,,0.04,0.49,0.9,19.6,8.6,3.7,117.4,,,,,,,,,,,,,
100,100,108.0,108.0,108.0,0.0,,acetylchloride,,,,,,,,,,,,,,,,15.8,10.6,3.9,71.0,,,,,,,,,,,,,
101,101,109.0,109.0,109.0,0.0,,acrylonitrile,,,,,,,,,,,,,,,,16.4,17.4,6.8,67.1,,,,,,,,,,,,,
102,102,110.0,110.0,110.0,0.0,,allylalcohol,,,,,,,,,,,,,,,,16.2,10.8,16.8,68.4,,,,,,,,,,,,,
103,103,111.0,111.0,111.0,0.0,,amylalcohol,,,,,,,,,,,,,,,,16.0,4.5,13.9,109.0,,,,,,,,,,,,,
104,104,112.0,112.0,112.0,0.0,,benzaldehyde,,,,,,,,,,,,,,,,19.4,7.4,5.3,101.5,,,,,,,,,,,,,
105,105,113.0,113.0,113.0,0.0,,benzoicacid,,,,,,,,,,,,,,,,18.2,7.0,9.8,100.0,,,,,,,,,,,,,
106,106,114.0,114.0,114.0,0.0,,benzonitrile,,,,,,,,,,,,,0.0,0.37,0.9,17.4,9.0,3.3,102.6,,,,,,,,,,,,,
107,107,115.0,115.0,115.0,0.0,,benzylbenzoate,,,,,,,,,,,,,,,,20.0,5.1,5.2,190.3,,,,,,,,,,,,,
108,108,116.0,116.0,116.0,0.0,,benzylbutylphthalate,,,,,,,,,,,,,,,,19.0,11.3,3.1,306.0,,,,,,,,,,,,,
109,109,117.0,117.0,117.0,0.0,,benzylether,,,,,,,,,,,,,,,,17.4,3.7,7.4,192.7,,,,,,,,,,,,,
110,110,118.0,118.0,118.0,0.0,,biphenyl,,,,,,,,,,,,,,,,21.5,1.0,2.0,154.1,,,,,,,,,,,,,
111,111,119.0,119.0,119.0,0.0,,bis-2-chloroisopropylether,,,,,,,,,,,,,,,,19.0,8.2,5.1,146.0,,,,,,,,,,,,,
112,112,120.0,120.0,120.0,0.0,,bromobenzene,,,,,,,,,,,,,0.0,0.06,0.79,20.5,5.5,4.1,105.3,,,,,,,,,,,,,
113,113,121.0,121.0,121.0,0.0,,bromochloromethane,,,,,,,,,,,,,,,,17.4,5.7,3.5,65.0,,,,,,,,,,,,,
114,114,122.0,122.0,122.0,0.0,,bromoethane,,,,,,,,,,,,,,,,16.6,8.0,5.1,76.9,,,,,,,,,,,,,
115,115,123.0,123.0,123.0,0.0,,bromoform,,,,,,,,,,,,,,,,21.5,4.1,6.1,87.5,,,,,,,,,,,,,
116,116,124.0,124.0,124.0,0.0,,bromotrifluoromethane,,,,,,,,,,,,,,,,9.6,2.5,0.0,97.0,,,,,,,,,,,,,
117,117,125.0,125.0,125.0,0.0,,butoxypropanol,,,,,,,,,,,,,,,,15.3,4.5,9.2,132.0,,,,,,,,,,,,,
118,118,126.0,126.0,126.0,0.0,,butylacetate,,,,,,,,,,,,,0.0,0.45,0.46,15.8,3.7,6.3,132.5,,,,,,,,,,,,,
119,119,127.0,127.0,127.0,0.0,,butylamine,,,,,,,,,,,,,0.0,0.72,0.31,16.2,4.5,8.0,99.0,,,,,,,,,,,,,
